Name,DisplayName,Website,LogoImage,Description,AppCategory,AppCategoryLabel,Custom,SecurePasswordStore,SAML_2_0,SAML_1_1,BookMark,BrowserPlugin,AutoLogin,BasicAuth,ImportNewUsers,ImportProfileUpdates,PushNewUsers,PushProfileUpdates,PushUserDeactivation,PushPasswordUpdates,ReactivateUsers,AutoConfirmImports,Ranking,OMM,Version
skimlinks,Skimlinks,http://skimlinks.com/,/fs/bcg/4/gfs13puf8wkYEzi001d8,Skimlinks offers services for content monetization platform,WEB,Web Design & Hosting,0,0,YES,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,97accdda-3440-4aa9-878a-0c35e3590c78
elink_ostigov,E-Link,https://www.osti.gov/elink/,/fs/bcg/4/gfs1g2ejvwhmGsCKq1d8,E-Link provides the means for scientific and technical information (STI) sponsored by Department of Energy (DOE) to be provided electronically to DOE,PRODUCTIVITY,Productivity,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,fd82de49-73d3-4676-91aa-03a53adcbeb9
mover,Mover,https://mover.io/,/fs/bcg/4/gfsxlcwt17YITXSLUDTL,"Backup, Copy, and Migrate Files Between Cloud Storage Services.",DA,Data & Analysis,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,93a56f9b-a6ca-4555-b85b-4fb52cf944b0
smsglobal,SMSGlobal,https://www.smsglobal.com/,/fs/bcg/4/gfs12giksr7qK5j431d8,Messaging made easy SMSGlobal,TELCO,Telecommunications,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,8f2d8733-398a-48e9-88ac-62ca1034033f
charliehr,Charlie HR,https://www.charliehr.com/,/fs/bcg/4/gfs1cakhlnxGjySLx1d8,"Charlie automates many of the administrative headaches youll experience when scaling a company, so you can spend less time doing admin and more time doing the things you love",HCM,HCM,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,e9a14803-1676-4e45-906d-18f43c8f0d97
blacklane,Blacklane Car Service,https://www.blacklane.com/,/fs/bcg/4/gfs1iodiu94Wr7YAj1d8,Take your travel to the next level and book professional chauffeurs at the touch of a button for all your global trips,TRANSPORTATION,Travel & Transportation,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,d71c3882-70b8-4e2d-ac69-47c21dc4a776
visage,Visage,http://visage.co/,/fs/bcg/4/gfsy888jvjHXDRUNQCNA,Visage empowers non-designers to easily create beautiful on-brand visual content such as charts reports presentations and infographics in a single web interface,WEB,Web Design & Hosting,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14561913-80ef-420c-aa11-ea0f6c60e3cc
zylo,Zylo,http://zylo.com/,/fs/bcg/4/gfs1a2hb69zeqN8T21d8,Zylo is the leading SaaS optimization platform that transforms how companies manage and optimize cloud-based applications organizations rely on today,SOFTWARE-DEV,Software Development,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,da844893-1633-4dd2-bd5f-94feba93dad0
bersin,Bersin,https://www.bersin.com/,/fs/bcg/4/gfs1doxpzk54o3S1B1d8,"Bersin is the indispensable digital destination for the HR Professional to build capability, community and credibility, stay informed, and lead on workforce issues. Our membership delivers research-based people strategies designed to help leaders drive exceptional business performance.",HCM,HCM,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707588d4-41ec-4aad-b544-89a7fb15b40e
advent,Advent Community,http://www.advent.com/,/fs/bcg/4/gfs129uwd7nCa8dy91e8,"Advent Software has been providing portfolio management and accounting systems, straight through processing, and research management software and services",CM,Content Management,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,c13ca18b-7827-403e-a517-86792344d899
hover_to,HOVER Inc.,https://hover.to/,/fs/bcg/4/gfs1hxkefujdsDovE1d8,"Powered by deep learning and computer vision, HOVER transforms smartphone photos of any property into an accurate, interactive 3D model, giving homeowners the power to unlock the true potential of their largest economic asset. HOVER's Okta integration allows you to manage your team's access to HOVER with Single Sign On and enhanced user provisioning.",ECOMM,E-Commerce,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75cf8615-4775-484f-bd8e-bcc826eb9b6e
wepay,WePay,https://go.wepay.com/,/fs/bcg/4/gfs1fa40198FCi6pk1d8,WePay is an integrated payments provider for SaaS and crowdfunding platforms,FINANCE,Finance & Accounting,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,b8572045-15fd-4284-b6ba-23e70d335726
ewalletadp,eWallet ADP,https://www.adp.com/,/fs/bcg/4/gfs199qz32qa4LhKk1d8,"ADP offers Payroll Services, HR Software and Tax and Compliance services for businesses of all sizes",HCM,HCM,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,d81bdde6-03c3-4626-be1e-74b76ffa656e
zocdoc,ZocDoc,https://www.zocdoc.com/,/fs/bcg/4/gfs1anenez3KMYxoh1d8,Find a doctor and make your appointment on line.,HEALTH,Health & Benefits,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,e5f5db2b-1805-416a-bf5b-10aa2dffa597
bstackscimstaging,BrowserStack,https://www.browserstack.com,/fs/bcg/4/gfs1ggs14ftMhZEev1d8,"Using BrowserStack, organizations can choose from over 2,000 real mobile devices, browsers, and operating systems and rely on a secure, scalable infrastructure to support thousands of concurrent manual and automated tests. BrowserStack replaces the need to own and manage every combination of device and browser or invest in scaling in-house testing infrastructure. Okta?s integration with BrowserStack enables end-users to enable Single Sign-on for their BrowserStack account. Single Sign-on integrates an external user directory with your BrowserStack Group.",SOFTWARE-DEV,Software Development,0,0,YES,0,0,0,0,0,0,0,YES,YES,YES,0,YES,0,0,0,d244153e-ce1d-4dd8-9d3f-9b14c04982f7
ituonline,IT University Online,http://www.ituonline.com/,/fs/bcg/4/gfs16zzf06ymEOOP11d8,IT University Online is the company which providing online IT training courses,EDUCATION,Education,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,f9840967-9b51-4e8f-8774-6b5bd6b19f89
concern,Concern,https://www.concernhealth.com/,/fs/bcg/4/gfs1hbt9y5eZcxtFF1d8,"Concern's mission is to promote healthy work environments by providing superior counseling services, innovative solutions and cutting-edge tools that enable employees to become more engaged, resilient and productive",HEALTH,Health & Benefits,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,d03635d9-1108-459b-8787-d6cd72759268
cmd,Cmd,https://cmd.com/,/fs/bcg/4/gfs1g9qb8q1RUpl181d8,Cmd offers security for Linux servers through activity visibility and controls managed via Cmd's website.  Okta's Cmd App allows enterprises to securely and centrally manage the users that may use Cmd and how they authenticate to Cmd.,SECURITY,Security,0,0,YES,0,0,0,0,0,0,0,YES,YES,YES,0,YES,0,0,0,d4866c98-6fbb-4400-9334-daa078dda2c0
databasecom,Database.com,http://database.com/,/fs/bcg/4/gfs54lmfmuHUPFRWHSPK,Database.com Login,DA,Data & Analysis,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,16db35ab-a2bf-4cf7-8554-34a891e7ed0f
adobecreative,Adobe Creative,https://www.adobe.com/,/fs/bcg/4/gfs1g0gjz8qdEyCXb1d8,"Adobe is changing the world through digital experiences. We help our customers create, deliver and optimize content and applications",WEB,Web Design & Hosting,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,aea0dfa2-746b-4e8c-8c34-cf79c6d70e51
donanapparel,DonanApparel,http://www.donanapparel.com/store/home.cfm,/fs/bcg/4/gfs19wej7rs8sVdDx1d8,Clothing and Apparel,CONSUMER,Consumer,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,fe9657fc-a19f-46fc-8db9-b15c4689f44a
